"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 26 20:13:56 CST 2022","Tue Jul 26 20:14:07 CST 2022","10774","package_pytest","test_operate_app","TestH7131","","","test_lock[11-500]",""
"passed","Tue Jul 26 20:42:24 CST 2022","Tue Jul 26 20:42:31 CST 2022","6758","package_pytest","test_operate_app","TestH7131","","","test_off_show[25-500]",""
"passed","Tue Jul 26 20:07:42 CST 2022","Tue Jul 26 20:07:49 CST 2022","6974","package_pytest","test_operate_app","TestH7131","","","test_off_head[8-500]",""
"passed","Tue Jul 26 21:01:06 CST 2022","Tue Jul 26 21:01:13 CST 2022","7406","package_pytest","test_operate_app","TestH7131","","","test_medium[35-500]",""
"passed","Tue Jul 26 20:11:30 CST 2022","Tue Jul 26 20:11:35 CST 2022","4474","package_pytest","test_operate_app","TestH7131","","","test_fan[10-500]",""
"passed","Tue Jul 26 21:12:32 CST 2022","Tue Jul 26 21:12:38 CST 2022","6296","package_pytest","test_operate_app","TestH7131","","","test_off_show[40-500]",""
"passed","Tue Jul 26 20:00:23 CST 2022","Tue Jul 26 20:00:28 CST 2022","5595","package_pytest","test_operate_app","TestH7131","","","test_off_show[4-500]",""
"passed","Tue Jul 26 20:15:50 CST 2022","Tue Jul 26 20:15:53 CST 2022","3304","package_pytest","test_operate_app","TestH7131","","","test_on_light[12-500]",""
"passed","Tue Jul 26 20:05:01 CST 2022","Tue Jul 26 20:05:12 CST 2022","10305","package_pytest","test_operate_app","TestH7131","","","test_low[7-500]",""
"passed","Tue Jul 26 20:50:47 CST 2022","Tue Jul 26 20:50:57 CST 2022","9503","package_pytest","test_operate_app","TestH7131","","","test_on[30-500]",""
"passed","Tue Jul 26 21:13:41 CST 2022","Tue Jul 26 21:13:46 CST 2022","4694","package_pytest","test_operate_app","TestH7131","","","test_fan[41-500]",""
"passed","Tue Jul 26 19:59:50 CST 2022","Tue Jul 26 19:59:54 CST 2022","3406","package_pytest","test_operate_app","TestH7131","","","test_on_light[4-500]",""
"passed","Tue Jul 26 20:33:25 CST 2022","Tue Jul 26 20:33:32 CST 2022","6509","package_pytest","test_operate_app","TestH7131","","","test_high[21-500]",""
"passed","Tue Jul 26 19:54:05 CST 2022","Tue Jul 26 19:54:12 CST 2022","6404","package_pytest","test_operate_app","TestH7131","","","test_off_lock[1-500]",""
"passed","Tue Jul 26 20:13:25 CST 2022","Tue Jul 26 20:13:28 CST 2022","3251","package_pytest","test_operate_app","TestH7131","","","test_auto[11-500]",""
"passed","Tue Jul 26 20:35:32 CST 2022","Tue Jul 26 20:35:35 CST 2022","3340","package_pytest","test_operate_app","TestH7131","","","test_auto[22-500]",""
"passed","Tue Jul 26 20:12:35 CST 2022","Tue Jul 26 20:12:41 CST 2022","5112","package_pytest","test_operate_app","TestH7131","","","test_app_home[11-500]",""
"passed","Tue Jul 26 21:04:51 CST 2022","Tue Jul 26 21:04:59 CST 2022","8532","package_pytest","test_operate_app","TestH7131","","","test_on[37-500]",""
"passed","Tue Jul 26 20:31:48 CST 2022","Tue Jul 26 20:31:55 CST 2022","7280","package_pytest","test_operate_app","TestH7131","","","test_off_head[20-500]",""
"passed","Tue Jul 26 21:01:50 CST 2022","Tue Jul 26 21:01:53 CST 2022","3442","package_pytest","test_operate_app","TestH7131","","","test_off_light[35-500]",""
"passed","Tue Jul 26 20:04:10 CST 2022","Tue Jul 26 20:04:17 CST 2022","7321","package_pytest","test_operate_app","TestH7131","","","test_off_lock[6-500]",""
"passed","Tue Jul 26 20:22:12 CST 2022","Tue Jul 26 20:22:19 CST 2022","7326","package_pytest","test_operate_app","TestH7131","","","test_show[15-500]",""
"passed","Tue Jul 26 20:12:41 CST 2022","Tue Jul 26 20:12:53 CST 2022","12536","package_pytest","test_operate_app","TestH7131","","","test_off[11-500]",""
"passed","Tue Jul 26 20:45:44 CST 2022","Tue Jul 26 20:45:51 CST 2022","7017","package_pytest","test_operate_app","TestH7131","","","test_off_head[27-500]",""
